Buyer ID,Has Certificate,AccountID
1,False,35
2,True,83
3,True,118
4,False,156
5,True,10
6,False,23
7,False,149
8,False,3
9,False,124
10,False,39
11,True,48
12,True,43
13,True,198
14,True,70
15,False,94
16,True,135
17,True,86
18,False,11
19,True,151
20,True,139
21,False,129
22,False,97
23,False,65
24,True,145
25,False,120
26,True,182
27,True,161
28,False,107
29,False,38
30,True,150
31,True,78
32,True,18
33,True,131
34,False,71
35,False,184
36,True,104
37,False,155
38,True,90
39,True,119
40,False,170
41,True,134
42,True,113
43,False,117
44,True,68
45,True,114
46,True,195
47,False,100
48,True,21
49,False,14
50,False,192
51,False,60
52,False,165
53,True,64
54,False,67
55,False,80
56,True,187
57,False,177
58,True,31
59,True,143
60,False,27
61,False,171
62,True,108
63,False,55
64,False,103
65,False,166
66,True,115
67,False,140
68,False,96
69,False,169
70,True,6
71,True,172
72,True,50
73,False,24
74,True,153
75,False,2
76,True,75
77,True,82
78,False,116
79,False,137
80,False,13
81,False,12
82,True,199
83,True,189
84,False,54
85,True,95
86,True,28
87,True,76
88,True,181
89,False,188
90,False,162
91,False,26
92,False,160
93,True,15
94,False,128
95,False,174
96,True,132
97,True,136
98,False,45
99,True,121
100,True,8
101,True,163
102,True,133
103,True,91
104,False,110
105,True,30
106,False,37
107,True,52
108,True,88
109,False,25
110,True,32
111,True,159
112,True,9
113,False,56
114,False,148
115,False,51
116,False,19
117,True,20
118,False,141
119,False,112
120,False,33
121,False,57
122,False,126
123,True,164
124,False,79
125,False,22
126,True,111
127,True,93
128,True,194
129,True,17
130,False,46
131,True,109
132,False,89
133,True,42
134,True,92
135,True,85
136,True,178
137,True,72
138,False,44
139,False,81
140,True,125
141,False,196
142,True,84
143,True,147
144,False,59
145,True,16
146,False,176
147,False,1
148,False,152
149,False,175
150,True,185
151,True,62
152,True,73
153,False,63
154,False,146
155,True,180
156,False,158
157,False,138
158,True,191
159,True,58
160,True,122
161,False,167
162,True,49
163,False,102
164,True,197
165,True,186
166,False,74
167,False,142
168,True,200
169,True,61
170,True,36
171,True,40
172,False,34
173,False,77
174,True,173
175,False,144
176,False,101
177,False,179
178,True,4
179,True,168
180,False,157
181,True,53
182,True,47
183,False,130
184,False,29
185,True,7
186,True,5
187,True,69
188,True,99
189,False,87
190,False,123
191,False,190
192,False,127
193,False,183
194,False,106
195,False,66
196,False,98
197,False,41
198,True,154
199,False,105
200,False,193
